STATIONS_ID;MESS_DATUM;QN_4;N_TER;CD_TER;eor
       1443;2007070918;    3;-999;-999;eor
       1443;2007071006;    3;-999;-999;eor
       1443;2007071012;    3;-999;-999;eor
       1443;2007071018;    3;-999;-999;eor
       1443;2007071106;    3;-999;-999;eor
       1443;2007071112;    3;-999;-999;eor
       1443;2007071118;    3;-999;-999;eor
       1443;2007071206;    3;-999;-999;eor
       1443;2007071212;    3;-999;-999;eor
       1443;2007071218;    3;-999;-999;eor
       1443;2007071306;    3;-999;-999;eor
       1443;2007071312;    3;-999;-999;eor
       1443;2007071318;    3;-999;-999;eor
       1443;2007071406;    3;-999;-999;eor
       1443;2007071412;    3;-999;-999;eor
       1443;2007071418;    3;-999;-999;eor
       1443;2007071506;    3;-999;-999;eor
       1443;2007071512;    3;-999;-999;eor
       1443;2007071518;    3;-999;-999;eor
       1443;2007071606;    3;-999;-999;eor
       1443;2007071612;    3;-999;-999;eor
       1443;2007071618;    3;-999;-999;eor
       1443;2007071706;    3;-999;-999;eor
       1443;2007071712;    3;-999;-999;eor
       1443;2007071718;    3;-999;-999;eor
       1443;2007071806;    3;-999;-999;eor
       1443;2007071812;    3;-999;-999;eor
       1443;2007071818;    3;-999;-999;eor
       1443;2007071906;    3;-999;-999;eor
       1443;2007071912;    3;-999;-999;eor
       1443;2007071918;    3;-999;-999;eor
       1443;2007072006;    3;-999;-999;eor
       1443;2007072012;    3;-999;-999;eor
       1443;2007072018;    3;-999;-999;eor
       1443;2007072106;    3;-999;-999;eor
       1443;2007072112;    3;-999;-999;eor
       1443;2007072118;    3;-999;-999;eor
       1443;2007072206;    3;-999;-999;eor
       1443;2007072212;    3;-999;-999;eor
       1443;2007072218;    3;-999;-999;eor
       1443;2007072306;    3;-999;-999;eor
       1443;2007072312;    3;-999;-999;eor
       1443;2007072318;    3;-999;-999;eor
       1443;2007072406;    3;-999;-999;eor
       1443;2007072412;    3;-999;-999;eor
       1443;2007072418;    3;-999;-999;eor
       1443;2007072506;    3;-999;-999;eor
       1443;2007072512;    3;-999;-999;eor
       1443;2007072518;    3;-999;-999;eor
       1443;2007072606;    3;-999;-999;eor
       1443;2007072612;    3;-999;-999;eor
       1443;2007072618;    3;-999;-999;eor
       1443;2007072706;    3;-999;-999;eor
       1443;2007072712;    3;-999;-999;eor
       1443;2007072718;    3;-999;-999;eor
       1443;2007072806;    3;-999;-999;eor
       1443;2007072812;    3;-999;-999;eor
       1443;2007072818;    3;-999;-999;eor
       1443;2007072906;    3;-999;-999;eor
       1443;2007072912;    3;-999;-999;eor
       1443;2007072918;    3;-999;-999;eor
       1443;2007073006;    3;-999;-999;eor
       1443;2007073012;    3;-999;-999;eor
       1443;2007073018;    3;-999;-999;eor
       1443;2007073106;    3;-999;-999;eor
       1443;2007073112;    3;-999;-999;eor
       1443;2007073118;    3;-999;-999;eor
       1443;2007080106;    3;-999;-999;eor
       1443;2007080112;    3;-999;-999;eor
       1443;2007080118;    3;-999;-999;eor
       1443;2007080206;    3;-999;-999;eor
       1443;2007080212;    3;-999;-999;eor
       1443;2007080218;    3;-999;-999;eor
       1443;2007080306;    3;-999;-999;eor
       1443;2007080312;    3;-999;-999;eor
       1443;2007080318;    3;-999;-999;eor
       1443;2007080406;    3;-999;-999;eor
       1443;2007080412;    3;-999;-999;eor
       1443;2007080418;    3;-999;-999;eor
       1443;2007080506;    3;-999;-999;eor
       1443;2007080512;    3;-999;-999;eor
       1443;2007080518;    3;-999;-999;eor
       1443;2007080606;    3;-999;-999;eor
       1443;2007080612;    3;-999;-999;eor
       1443;2007080618;    3;-999;-999;eor
       1443;2007080706;    3;-999;-999;eor
       1443;2007080712;    3;-999;-999;eor
       1443;2007080718;    3;-999;-999;eor
       1443;2007080806;    3;-999;-999;eor
       1443;2007080812;    3;-999;-999;eor
       1443;2007080818;    3;-999;-999;eor
       1443;2007080906;    3;-999;-999;eor
       1443;2007080912;    3;-999;-999;eor
       1443;2007080918;    3;-999;-999;eor
       1443;2007081006;    3;-999;-999;eor
       1443;2007081012;    3;-999;-999;eor
       1443;2007081018;    3;-999;-999;eor
       1443;2007081106;    3;-999;-999;eor
       1443;2007081112;    3;-999;-999;eor
       1443;2007081118;    3;-999;-999;eor
       1443;2007081206;    3;-999;-999;eor
       1443;2007081212;    3;-999;-999;eor
       1443;2007081218;    3;-999;-999;eor
       1443;2007081306;    3;-999;-999;eor
       1443;2007081312;    3;-999;-999;eor
       1443;2007081318;    3;-999;-999;eor
       1443;2007081406;    3;-999;-999;eor
       1443;2007081412;    3;-999;-999;eor
       1443;2007081418;    3;-999;-999;eor
       1443;2007081506;    3;-999;-999;eor
       1443;2007081512;    3;-999;-999;eor
       1443;2007081518;    3;-999;-999;eor
       1443;2007081606;    3;-999;-999;eor
       1443;2007081612;    3;-999;-999;eor
       1443;2007081618;    3;-999;-999;eor
       1443;2007081706;    3;-999;-999;eor
       1443;2007081712;    3;-999;-999;eor
       1443;2007081718;    3;-999;-999;eor
       1443;2007081806;    3;-999;-999;eor
       1443;2007081812;    3;-999;-999;eor
